CIDB ID#,SKU,Name,Unit Cost,Measure,Unit,Hidden MU (%),MU (%),Total,Internal Notes,Description,Status,Cost Code,Supplier,Product Link
8023163,319254,`023 BERNARD TIPS,$1.18,0,,0,30,$1.53,,,Active,Field Services/Mechanical/Welding,Naik,
8023164,,`023 MILLER TIPS,$0.81,0,,0,30,$1.05,,,Active,Field Services/Mechanical/Welding,,
8023165,,`030 MILLER TIPS,$0.81,0,,0,30,$1.05,,,Active,Field Services/Mechanical/Welding,,
8023166,,`035 BERNARD CONTACT TIPS,$1.18,0,,0,30,$1.53,,,Active,Field Services/Mechanical/Welding,,
8023167,,`035 BERNARD LINER,$18.90,0,,0,30,$24.57,,,Active,Field Services/Mechanical/Welding,,
8023168,,`035 MILLER TIPS,$0.81,0,,0,30,$1.05,,,Active,Field Services/Mechanical/Welding,,
8023169,,`045 BERNARD CONTACT TIPS,$1.18,0,,0,30,$1.53,,,Active,Field Services/Mechanical/Welding,,
8023170,,`045 MILLER TIPS,$0.81,0,,0,30,$1.05,,,Active,Field Services/Mechanical/Welding,,
7909249,,_,$0.00,0,,0,30,$0.00,,,Active,,,
8124030,,!@#$%^,$0.00,0,,0,5,$0.00,,,Active,,,
8124034,!@#$%^ - 3,!@#$%^ - 3,$0.00,0,,0,5,$0.00,,,Active,,,
8124032,,!@#$%^ - Ammu,$0.00,0,,0,5,$0.00,,,Active,,,
8124033,,!@#$%^ Ammu 2,$0.00,0,,0,5,$0.00,,,Active,,,
6968168,\/\/,\/\/,$0.00,0,,0,5,$0.00,/\/\,/\/\,Active,"6"" Test (5"" test)",,
8026739,SC220906-1-36,"#18 Valve Box Water 18""-24"" Extension Screw Type",$163.68,1,EA,8,15,$203.29,Original supplier name: #18 VALVE BOX WATER 18-24EXT SCREW TYPE; Original group: Valve / Appurtenance; Cost code basis: Added from quote/purchase order using material description; Source: Highest price selected from quote/PO review: SC220906-1 p2 line 36; Supplier/source file: LEG AVEM Only Purchase Order SC220906-1.pdf; Price observations: 1; Range: $163.68-$163.68; All observed sources: SC220906-1 p2 line 36 ($163.68),Valve or valve assembly used to control flow.,Active,Finish Carpentry (1001),,
8023171,,#2 VICTOR CUT TIP,$9.10,0,,0,30,$11.83,,,Active,Field Services/Mechanical/Welding,,
8023172,,#3 VICTOR CUT TIP,$9.10,0,,0,30,$11.83,,,Active,Field Services/Mechanical/Welding,,
8023173,,#4 VICTOR CUT TIP,$9.10,0,,0,30,$11.83,,,Active,Field Services/Mechanical/Welding,,
8023174,,#8 HEATING HEAD,$148.40,0,,0,30,$192.92,,,Active,Field Services/Mechanical/Welding,,
7637514,,#8511 N95 DUST MASM 10/BOX,$0.00,0,,0,0,$0.00,,,Active,Flooring Installation (CW-004),,
8123908,,#8511 N95 DUST MASM 10/BOX12,$0.00,0,,0,5,$0.00,,,Active,,,
8026534,"07541010014 3/4"" - HDPE - DR11 - PEP07541010014","07541010014 3/4"" HDPE DR11 IPS Pipe",$0.60,1,FT,8,15,$0.75,"Original supplier name: ENDOT PEP07541010014 3/4"" HDPE DR11 IPS-OD Tubing Blue 200psi; Original group: Pipe; Cost code basis: Raw item match; Source: Highest price found in Invoice_IN1007896_1752067154035.pdf (IN1007896); Supplier: AVEM Water LLC; Price observations: 6; Range: $0.60-$0.60","07541010014 3/4"" Water / Fire Water pipe material. Use for the main pipe run, usually measured by linear foot.",Active,Field Services/Mechanical/Welding,Time Zone Test,
8026679,72032T,1 Full Port Ball Valve Female Npt-nl,$61.00,1,EA,8,15,$75.76,Original supplier name: AY McDonald 72032T 1 FULL PORT BALL VALVE FNPT-NL; Original group: Valve / Appurtenance; Cost code basis: Raw item match; Source: Highest price found in Quote_QT1017912_1769814667832.pdf (QT1017912); Supplier: AVEM Water LLC; Price observations: 1,"Valve/appurtenance used to control, isolate, meter, strain, or regulate the utility line.",Active,,,
8026686,"1-1/2"" - 3450AS-PE","1-1/2"" Ball Curb Stop Valve With Lock Wing Male NPT x Male NPT",$279.50,1,EA,8,15,$347.14,"Original supplier name: Ford 3450AS-PE 1-1/2"" Ball Curb Stop Valve w/ Lock Wing MNPT x MNPT; Original group: Valve / Appurtenance; Cost code basis: Raw item match; Source: Highest price found in Invoice_IN1008316_1775646857802-1.pdf (IN1008316); Supplier: AVEM Water LLC; Price observations: 3; Range: $279.50-$279.50","1-1/2"" Valve/appurtenance used to control, isolate, meter, strain, or regulate the utility line.",Active,,,
8026536,"1-1/2"" - HDPE - DR11 - PGE150410100","1-1/2"" HDPE DR11 IPS Pipe - Water / HDPE",$1.60,1,FT,8,15,$1.99,"Original supplier name: ENDOT PGE150410100... 1-1/2"" HDPE DR11 IPS-OD Tubing Black 200psi; Original group: Pipe; Cost code basis: Raw item match; Source: Highest price found in Invoice_IN1007763_1744227178528.pdf (IN1007763); Supplier: AVEM Water LLC; Price observations: 4; Range: $1.60-$1.60","1-1/2"" Water / Fire Water pipe material. Use for the main pipe run, usually measured by linear foot.",Active,,,
8026728,"1-1/2"" x 1-1/2"" - HDPE - DR11, SDR11 - SDR11","1-1/2"" SDR11, 1-1/2"" x 1-1/2"", IPS, Butt Fusion, Standard Port Ball Valve, HDPE, For Gas And…",$110.00,1,EA,8,15,$136.62,"Original supplier name: 1-1/2"" SDR11, 1-1/2"" x 1-1/2"", ips, butt fusion, standard port ball valve, HDPE, for gas and water, NSF, molded; Original group: Valve / Appurtenance; Cost code basis: Raw item match; Source: Highest price found in Invoice_IN1007710_1742391813523[41].pdf (IN1007710); Supplier: AVEM Water LLC; Price observations: 7; Range: $110.00-$110.00","1-1/2"" x 1-1/2"" Valve/appurtenance used to control, isolate, meter, strain, or regulate the utility line.",Active,,,
8026496,"1-1/2"" - PVC - SCH40 - SCH40","1-1/2"" Utility Pipe (20-ft Sticks)",$0.66,1,FT,8,15,$0.82,"Original supplier name: Charlotte PVC 4015B 1-1/2"" SCH40 PVC Pipe White Bell End 20'; Original group: Pipe; Cost code basis: Raw item match; Source: Highest price found in Quote_QT1016123_1728320531972.pdf (QT1016123); Supplier: AVEM Water LLC; Price observations: 2; Range: $0.66-$0.66","1-1/2"" General Utility / Review pipe material. Use for the main pipe run, usually measured by linear foot.",Active,,,
8026757,"1-1/4"" - PVC - SCH 80 - SC220906-1-93","1-1/4"" Cap PVC SCH 80",$5.60,1,EA,8,15,$6.96,Original supplier name: Spears 1-1/4 PVC CAP SOC SCH80; Original group: Fitting; Cost code basis: Added from quote/purchase order using material description; Source: Highest price selected from quote/PO review: SC220906-1 p5 line 93; Supplier/source file: LEG AVEM Only Purchase Order SC220906-1.pdf; Price observations: 1; Range: $5.60-$5.60; All observed sources: SC220906-1 p5 line 93 ($5.60),"Fitting used to cap, plug, or close a pipe or fitting end.",Active,,Jensi (Jensi TEST),
8026758,"1-1/4"" - PVC - SCH 80 - SC220906-1-92","1-1/4"" Coupling PVC SCH 80",$5.40,1,EA,8,15,$6.71,Original supplier name: Spears 1-1/4 PVC COUPLING SOC SCH80; Original group: Fitting; Cost code basis: Added from quote/purchase order using material description; Source: Highest price selected from quote/PO review: SC220906-1 p5 line 92; Supplier/source file: LEG AVEM Only Purchase Order SC220906-1.pdf; Price observations: 1; Range: $5.40-$5.40; All observed sources: SC220906-1 p5 line 92 ($5.40),Fitting used to join two pipe sections or transition between pipe types.,Active,,,
8026759,"1-1/4"" - PVC - SCH 80 - SC220906-1-97","1-1/4"" PVC SCH 80 45 Elbow",$7.60,1,EA,8,15,$9.44,Original supplier name: Spears 1-1/4 PVC 45 ELL SOC SCH80; Original group: Fitting; Cost code basis: Added from quote/purchase order using material description; Source: Highest price selected from quote/PO review: SC220906-1 p5 line 97; Supplier/source file: LEG AVEM Only Purchase Order SC220906-1.pdf; Price observations: 1; Range: $7.60-$7.60; All observed sources: SC220906-1 p5 line 97 ($7.60),Fitting used where the pipe changes direction.,Active,,,
8026760,"1-1/4"" - PVC - SCH 80 - SC220906-1-89","1-1/4"" PVC SCH 80 90 Elbow",$3.82,1,EA,8,15,$4.74,Original supplier name: Spears 1-1/4 PVC 90 ELL SOC SCH80; Original group: Fitting; Cost code basis: Added from quote/purchase order using material description; Source: Highest price selected from quote/PO review: SC220906-1 p5 line 89; Supplier/source file: LEG AVEM Only Purchase Order SC220906-1.pdf; Price observations: 1; Range: $3.82-$3.82; All observed sources: SC220906-1 p5 line 89 ($3.82),Fitting used where the pipe changes direction.,Active,,,
